"ano";"semestre";"campus";"unidade_academica";"curso";"habilitacao";"formato";"diplomados"
2015;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FLL";"";"PRESENCIAL";1
2015;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"MUSICA-MUS";"";"PRESENCIAL";9
2015;2;"OURO PRETO";"REITORIA";"EDUCACAO FISICA-EFB";"";"PRESENCIAL";10
2015;2;"OURO PRETO";"REITORIA";"EDUCACAO FISICA-EFL";"";"PRESENCIAL";7
2016;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE COMPUTACAO-CJM";"";"PRESENCIAL";7
2016;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE PRODUCAO-PJM";"";"PRESENCIAL";18
2016;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA ELETRICA-EJM";"";"PRESENCIAL";10
2016;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"SISTEMAS DE INFORMACAO-SJM";"";"PRESENCIAL";12
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIB";"";"PRESENCIAL";7
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIL";"";"PRESENCIAL";20
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTB";"TRADUCAO";"PRESENCIAL";3
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTB";"ESTUDOS LITERARIOS";"PRESENCIAL";4
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTB";"ESTUDOS LINGUISTICOS";"PRESENCIAL";1
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTL";"LINGUA PORTUGUESA";"PRESENCIAL";17
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTL";"LINGUA INGLESA";"PRESENCIAL";1
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"PEDAGOGIA-PED";"";"PRESENCIAL";12
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"ADMINISTRACAO-ADM";"";"PRESENCIAL";35
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"CIENCIAS ECONOMICAS-ECO";"";"PRESENCIAL";19
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"JORNALISMO-JOR";"";"PRESENCIAL";29
2016;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"SERVICO SOCIAL-SER";"";"PRESENCIAL";17
2016;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"ADMINISTRACAO: ADMINISTRACAO PUBLICA-D03";"";"DISTANCIA";4
2016;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"ADMINISTRACAO PUBLICA-D06";"";"DISTANCIA";88
2016;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"GEOGRAFIA-D07";"";"DISTANCIA";29
